tags,tag_count,similar_tracks,tracks_count
alexcore,108.0,Life,155
Denver,107.0,Reckless,155
Movies,107.0,Let's Go,155
2001,107.0,2 Chainz & Kendrick Lamar),154
melodic songwriting,107.0,Love Me Like This,154
Through Glass,107.0,Nobody,154
Caroline,107.0,F**kin' Problems (feat. Drake,154
Denial,107.0,Armed And Dangerous,154
Sway,106.0,That That (prod.&feat. SUGA of BTS),154
Outside,106.0,1,154
Progressive metal,106.0,ALIEN SUPERSTAR,153
I Kissed a Girl,106.0,Every You Every Me,153
prominent percussion,106.0,Love Songs - Bonus,153
i am a party girl here is my soundtrack,106.0,Ruby,153
Blondie,105.0,Playboi Carti,153
My Way,105.0,Call Me,153
groove based composition,105.0,Vogue,153
alternative rap,104.0,Intro,153
rap rock,104.0,Somebody Told Me,153
easy,104.0,Shook Ones,153
noise pop,104.0,Cannonball,153
Dynamite,103.0,Hold the Line,153
uk number one,103.0,28 Reasons,153
davaho53,103.0,Flowers,153
male,103.0,Get Got,153
Duality,102.0,Gotta Go,152
happiness,102.0,LIKE I WANT YOU,152
country rock,102.0,Bubblegum Bitch,152
Love Songs on the Radio,102.0,Not Strong Enough,151
2004,101.0,Falling,151
My Music Library,101.0,Teenage Fever,151
Guitar Hero,101.0,I Hate Everything About You,151
pop perfection,101.0,I Don’t Wanna Live Forever (Fifty Shades Darker),151
boom bap,100.0,HIP,151
emocore,100.0,Epic,151
My Favorites,100.0,Buttons,151
Skitz0rz,100.0,Rakata,151
Birthday,100.0,1979,151
political,100.0,A Dona Aranha,151
tiktok,100.0,FTCU,151
los angeles,99.0,Sober,151
dancing,99.0,Stuck in the Middle With You,151
aggressive,99.0,The Story of O.J.,151
Streets,99.0,The Suburbs,151
Blind,99.0,These Days,150
Favorite Artists,98.0,Tonight,150
1901,98.0,Roll in Peace (feat. XXXTENTACION),150
pretty,98.0,Fact Check,150
good music,98.0,Close Your Eyes and Swing,150
Another Love,97.0,D>E>A>T>H>M>E>T>A>L,150
Soundtracks,97.0,American Teenager,150
Like a Rolling Stone,97.0,History of Man,150
crossover,97.0,Sometimes,149
wrif-fm,97.0,What Once Was,149
Pop-punk,97.0,Shattered Dreams,149
Face Down,97.0,Naïve,149
depressing,97.0,The Astronaut,149
Love My Way,97.0,Location,149
Stars,97.0,Wait a Minute!,149
kendrick lamar,96.0,Make No Sense,149
thrash metal,96.0,Hey,149
prominent use of synth,96.0,Maria,148
By Your Side,96.0,Black,148
danceable beats,96.0,Romantic Homicide,148
brazilian,96.0,Night Changes,148
gute laune,96.0,Obsession,148
death metal,96.0,Drive By,148
9 of 10 stars,95.0,Friends,148
east coast hip hop,95.0,Fool,147
uitluisteren artist,95.0,See You Again (feat. Kali Uchis),147
holloween skitz0rz,95.0,Kool Thing,147
best of 2015,95.0,Halo,147
Peaches,95.0,Fear,147
boring,95.0,I Love You,147
2,95.0,Wus Good / Curious,147
Little Things,94.0,Sundress,146
29,94.0,SoLo,146
The Great Escape,94.0,You Get Me So High,146
Officially Shit,94.0,obsessed,146
introspective,94.0,When I Grow Up,146
electronic dance music,94.0,Nothing,146
80s Pop,93.0,Japan,146
1970s,93.0,Evergreen,146
ballads,93.0,Radio,145
Ocean Avenue,93.0,Applause,145
soulful,93.0,WA DA DA,145
Progressive Pop,93.0,Hunger,145
-1001740215468,93.0,Let Me Love You,145
hits,92.0,Loose,144
Girl,92.0,Run,144
favs,92.0,Can't Get You Out of My Head,144
Who Says,92.0,Johanna,144
us number one,92.0,sense,144
White Room,92.0,telepatía,144
Jam,92.0,Killin’ Me Good,144
All Star,92.0,Wet,144
chill out,91.0,Lights,144
r'n'b,91.0,Rain On Me,144
505,91.0,Oh Mymy : 7s,144
scars,91.0,My Own Summer (Shove It),143
She Wolf,91.0,I <3 My Choppa,143
favorite song,90.0,In Da Club,143
Whenever,90.0,Space Girl,143
Remedy,90.0,Digits,143
Queen,90.0,Last Resort,143
other,90.0,Die For You,143
Walk This Way,90.0,Cardboard Box,143
travis scott,90.0,Chelsea Dagger,143
Electro Pop,90.0,Lush Life,142
heartbreak,89.0,Fairytales,142
My Hero,89.0,All They Wanted,142
pop soul,89.0,Right side of my neck,142
